,Player,Team,TW,TL,Age,Salary,PTS,GP,FG%,3P%,FT%,REB,AST,STL,BLK,DD2,TD3
0,Joel Embiid,PHI,54,28,29.0,33616770.0,33.1,66.0,54.8,33.0,85.7,10.2,4.2,1.0,1.7,39.0,1.0
1,Luka Doncic,DAL,38,44,24.0,37096500.0,32.4,66.0,49.6,34.2,74.2,8.6,8.0,1.4,0.5,36.0,10.0
2,Damian Lillard,POR,33,49,32.0,42492492.0,32.2,58.0,46.3,37.1,91.4,4.8,7.3,0.9,0.3,16.0,2.0
3,Shai Gilgeous-Alexander,OKC,40,42,24.0,30913750.0,31.4,68.0,51.0,34.5,90.5,4.8,5.5,1.6,1.0,3.0,0.0
4,Giannis Antetokounmpo,MIL,58,24,28.0,42492492.0,31.1,63.0,55.3,27.5,64.5,11.8,5.7,0.8,0.8,46.0,6.0
5,Jayson Tatum,BOS,57,25,25.0,30351780.0,30.1,74.0,46.6,35.0,85.4,8.8,4.6,1.1,0.7,31.0,1.0
6,Stephen Curry,GSW,44,38,35.0,48070014.0,29.4,56.0,49.3,42.7,91.5,6.1,6.3,0.9,0.4,12.0,1.0
7,Kevin Durant,PHX,45,37,34.0,44119845.0,29.1,47.0,56.0,40.4,91.9,6.7,5.0,0.7,1.4,5.0,1.0
8,LeBron James,LAL,43,39,38.0,44474988.0,28.9,55.0,50.0,32.1,76.8,8.3,6.8,0.9,0.6,18.0,2.0
9,Donovan Mitchell,CLE,51,31,26.0,30913750.0,28.3,68.0,48.4,38.6,86.7,4.3,4.4,1.5,0.4,5.0,0.0
10,Devin Booker,PHX,45,37,26.0,33833400.0,27.8,53.0,49.4,35.1,85.5,4.5,5.5,1.0,0.3,5.0,0.0
11,Kyrie Irving,DAL,38,44,31.0,38917057.0,27.1,60.0,49.4,37.9,90.5,5.1,5.5,1.1,0.8,5.0,0.0
12,Jaylen Brown,BOS,57,25,26.0,29776785.0,26.6,67.0,49.1,33.5,76.5,6.9,3.5,1.1,0.4,13.0,0.0
13,Trae Young,ATL,41,41,24.0,37096500.0,26.2,73.0,42.9,33.5,88.6,3.0,10.2,1.1,0.1,40.0,0.0
14,Ja Morant,MEM,51,31,23.0,12119440.0,26.2,61.0,46.6,30.7,74.8,5.9,8.1,1.1,0.3,20.0,7.0
15,Zion Williamson,NOP,42,40,22.0,13534817.0,26.0,29.0,60.8,36.8,71.4,7.0,4.6,1.1,0.6,5.0,0.0
16,Anthony Davis,LAL,43,39,30.0,37980720.0,25.9,56.0,56.3,25.7,78.4,12.5,2.6,1.1,2.0,40.0,0.0
17,Lauri Markkanen,UTA,37,45,26.0,16475454.0,25.6,66.0,49.9,39.2,87.5,8.6,1.9,0.6,0.6,28.0,0.0
